review_text,label
great food great service even though price high value great tasty meats,1
love place friendly clean food delicious u choose spicy spicy u easily bring friends used spicy food they ll enjoy too truly love place best ethiopian restaurant chicago,1
i came birthday dinner last month great time the food amazing girlfriend i shared cb j duck reuben heaven whole meal i also sniped delicious mussels friend s plate we sat near entrance gets crowded order bar it bit inconvenient weaving crowds especially couple strong beers overall scene service seemed par bars we definitely came beer though seriously selection worth getting excited i even slacked bit work day devised ordered list beers try evening my embarrassing admission i make way list suffice say night lightest beer 7 abv termed resounding success it s bit way us quite far uptown i ll hopefully making way back sooner rather later a must fans tasty beer tasty food,1
this place amazing love atmosphere menu style great wine amazin intresting comunal style cusine try lil bit everthing hands must stop ivanne bartender full e energy great advice place down i never go chi town without hitting spot cheers swine wine,0
probably best cantonese chicago especially soups broth top notch hon kee street bbq items better char sui particluar dishes much better at 28 five course peking duck feeds 3 4 people practically giving away anyone thinks place atmosphere need die this place atmosphere interior decorator buy million dollars,1
yeah pho good also hundred things menu in particluar i ve enjoyed raw beef salad bo tai chan thit heo ram man pork belly cooked crock fish sauce lemongrass chilies eat rice typical vietnamese places lot entries overpriced i wish still wore camo uniforms,1
art pizza gets vote best chicago pizza not pizza top notch even buy slice major perk i think delivery sort con pizza well worth effort go pick up it melt mouth type pizza,1
we took family five truly wonderful dining experience every item seem served right cue every dish flavor filled joy bursts unexpected excitement,1
we went seeing diners drive ins dives sometimes gamble one paid off we enjoyed environment service food the shrimp oyster po boy amazing i even like seafood my 12yo ordered i pot pie mine good i wanted take i tried it my husband son chicken sandwich monte cristo delicious we also tried bbq pulled pork nachos good although husband felt chips crispy enough i loved it i looking forward going back soon,1
tonight boyfriend i went late dinner got around 9 15 i called ahead host answered phone told take reservations said time night wait half hour we got 9 30 quoted 1 1 1 2 hour wait we figured since from north side would stick drink bar across street waited problem the restaurant called us 45 minutes table ready headed back frankly downhill there while food wine great unfortunately overshadowed worst service i ve experienced restaurant the hostess sat us walked thirty feet ahead us could barely see dropped menus table practically sprinted another direction keep mind almost 10 30 restaurant longer busy water glasses filled promptly good 5 10 minutes anyone acknowledged there someone finally came take order ordered bottle wine bruschetta cheese charcuterie plate the appetizers arrived wine flag another server actually get wine then entrees we pasta rigatoni sausage tomatoes parm arrived 3 seconds bruschetta et al so waiting maybe 15 minutes drinks felt rushed food we probably saw actual waiter twice first time took order end presented check the food good i go back there better italian restaurants city make jump hoops,0
overrated greasy oily food so i checked place much excitement reading rave reviews yelp seeing popularity chef i even read menu extensively heading restaurant fully decide i wanted my group i ordered two cups chicken sole fish fillet tofu mongolian beef soup clams tofu fried three seafood combo as many previous yelpers proclaim service slow nice friendly my waitress especially nice the two cups chicken overrated it salty saucy the cuts chicken nice tender though as vietnamese person used thit kho which little similar dish expectations high the sole fish fillet tofu took forever come out i impression would whole fish fillet actually small diced pieces fish doused chilli oil soft tofu it completely drenched point looked like soup ugh the mongolian beef bad especially americanized chinese entree the soup clams tofu one better dishes due freshness clams the fried seafood combo squid shrimp scallops delicious overall place left feeling like i digested much salt msg oil spice level great i admit place overrated,0
the ahogada best sandwich i ve ever had the milanesa terrific well i tried one thing i like,0
unbelievable every bite unique experience no reservations leave cell phone they ll call table ready the wine selection great try everything,0
after living area long time i finally opportunity check piece it great atmosphere make darn good wheel albeit dilapidated 16 x24 sheets serve pie it definitely younger crowd college feel it everyone pleasant the beer good server attentive if i pick one negative would air conditioning powerful enough cool entire space they ll need get fixed i m sure we ll back soon it s really lot fun,0
for price i paid food tasted better just average,1
i sure hype about i ve plenty years most recently fiance insits go the food good but go guero friendly places city cleaner bar service overall much funner at my test restaurants clean bathrooms are the times i ve ventured in they generally clean over crowded stay away back room room bathrooms are why smells like bathroom overall good food overrated there nicer places there,1
i usually like go back restaurant twice year there s much explore taste my husband i moved lakeview january 2006 i think we ve probably gone las tablas 8 9 times already it s good good value good food good atmosphere think authentic touristy if coming morton s smith wollensky kind steak house don t prepare boisterous atmosphere painted benches botticelli esque paintings highly recommend yuca app deliciously smeared cheese the steak octopus combo house special catfish mouth watering tender yet flavorful the empanadas best city wash beverage choice it s byob enjoy flan dessert a wonderful night date if really fun loving great first group,0
so i came first ago friends heard mention er not even sure one loved it great little italian place great ambiance i usually try make month love it,1
i love place they adventurous food menu mile long beer list heaven the draw back wait not sure take reservations bar call girlfriends meet dinner you would plan advance go wait least 45 minutes i sausage plate frites my friends got mussels kind sandwhich raving about the server suggesting food drink pairing great us the service great atmosphere great wait worth it but i may stop often i d like i m crunched time hungry,1
wakamono used small establishment back little quiet cozy food arrived quickly now expanded a testament quality appear they ve hired sushi chefs this lead i consider very long wait meal the quality excellent i ve establishment handful times one delight tastebuds but joy ends the restaurant far large number chefs have and noise excessive the entire place built eye pleasing wood loud music large number people makes conversing difficult truthfully nicer months i would never eat i certain seating outside not able converse dinner mates serious issue suggestions owners i m sure read this invest noise absorbing materials turn music we re club bar we re restaurant trying enjoy meal talk friends and get chefs you could turn tables make money waiting hour food cool may drive people find quicker delivering establishments they exist i wish options ranking instead single star rating the food would get 5 decor 4 experience 2,1
this restaurant held spot favorite restaurant almost 8 years now the food consistently fresh meat cooked perfection matter like it tip if big meat eater careful fill salad phenominal salad bar customer service always stellar recent trip manager even came chat us times drinks strong wine good meat literally second none bad tasting item establishment this stay favorite restaurant long time,0
awesome definitely go back food worth bill service atmosphere delightful,1
it one best bakery town i simply love mango mousse cake a must go everyone,1
love sunda we first went chef s tasting menu deal i got groupon each portion menu plentiful enough sharing two people since then gone back order regular menu enjoyed well the dining room bit loud side bad would keep us away some faves chop chop chicken salad rock shrimp tempura starters all sushi rolls great especially yellowtail jalapeno roll have fun enjoy,1
from moment husband i walked in greeted warm friendly environment the popcorn fad trend actually best i ever had the server beyond cool opinionated i love the food good negative thing i see is appetizers far better main courses while i wanted finish every morsel wisconsin risotto deconstructed italian beef etc i mildly impressed main courses ordered sturgeon pork belly the wine beyond reasonably priced desserts although small yummy if budget would regulars i sent three couples since dining last month left happy,1
i receive large portion food ok nothing special i make special trip visit again cash only credit cards,0
